title,year,duration,genre,rating,movie_url
Grave of the Fireflies ,1988,1h 29min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0095327/
Once Upon a Time in the West ,1968,2h 45min,"<a href=""/search/title?genres=western&amp;explore=title_type,genres"">Western</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0064116/
The Shawshank Redemption ,1994,2h 22min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">9.3</span>",https://www.imdb.com/title/tt0111161/
Cinema Paradiso ,1988,2h 35min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0095765/
Psycho ,1960,1h 49min,"<a href=""/search/title?genres=horror&amp;explore=title_type,genres"">Horror</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0054215/
Back to the Future ,1985,1h 56min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0088763/
Terminator 2: Judgment Day ,1991,2h 17min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0103064/
American History X ,1998,1h 59min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0120586/
Léon: The Professional ,1994,1h 50min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0110413/
Gladiator ,2000,2h 35min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0172495/
The Lion King ,1994,1h 28min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0110357/
The Departed ,2006,2h 31min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0407887/
The Prestige ,2006,2h 10min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0482571/
The Pianist ,2002,2h 30min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0253474/
The Intouchables ,2011,1h 52min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt1675434/
Vikram Vedha ,2017,2h 27min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt6148156/
It's a Wonderful Life ,1946,2h 10min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.6</span>",https://www.imdb.com/title/tt0038650/
The Usual Suspects ,1995,1h 46min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt0114814/
Whiplash ,2014,1h 46min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt2582802/
Seven Samurai ,1954,3h 27min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.6</span>",https://www.imdb.com/title/tt0047478/
Hara-Kiri ,1962,2h 13min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.6</span>",https://www.imdb.com/title/tt0056058/
Joker ,2019,2h 2min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.5</span>",https://www.imdb.com/title/tt7286456/
Reservoir Dogs ,1992,1h 39min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0105236/
Braveheart ,1995,2h 58min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0112573/
Toy Story ,1995,1h 21min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0114709/
Good Will Hunting ,1997,2h 6min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0119217/
American Beauty ,1999,2h 2min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0169547/
Requiem for a Dream ,2000,1h 42min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0180093/
Snatch ,2000,1h 42min,"<a href=""/search/title?genres=comedy&amp;explore=title_type,genres"">Comedy</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0208092/
Children of Heaven ,1997,1h 29min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0118849/
Amélie ,2001,2h 2min,"<a href=""/search/title?genres=comedy&amp;explore=title_type,genres"">Comedy</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0211915/
Inglourious Basterds ,2009,2h 33min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0361748/
My Father and My Son ,2005,1h 52min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0476735/
Toy Story 3 ,2010,1h 43min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0435761/
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt0338013/
Incendies ,2010,2h 11min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt1255953/
The Hunt ,2012,1h 55min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt2106476/
A Separation ,2011,2h 3min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.3</span>",https://www.imdb.com/title/tt1832382/
Indiana Jones and the Last Crusade ,1989,2h 7min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0097576/
The Bandit ,1996,2h 8min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0116231/
Unforgiven ,1992,2h 10min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0105695/
Casino ,1995,2h 58min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0112641/
Heat ,1995,2h 50min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0113277/
L.A. Confidential ,1997,2h 18min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0119488/
"Lock, Stock and Two Smoking Barrels ",1998,1h 47min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0120735/
A Beautiful Mind ,2001,2h 15min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0268978/
Downfall ,2004,2h 36min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0363163/
Howl's Moving Castle ,2004,1h 59min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0347149/
V for Vendetta ,2005,2h 12min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0434409/
Batman Begins ,2005,2h 20min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0372784/
Rang De Basanti ,2006,2h 47min,"<a href=""/search/title?genres=comedy&amp;explore=title_type,genres"">Comedy</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0405508/
There Will Be Blood ,2007,2h 38min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0469494/
The Wolf of Wall Street ,2013,3h,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0993846/
Hotel Rwanda ,2004,2h 1min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0395169/
Pan's Labyrinth ,2006,1h 58min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.2</span>",https://www.imdb.com/title/tt0457430/
Million Dollar Baby ,2004,2h 12min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0405159/
No Country for Old Men ,2007,2h 2min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0477348/
Into the Wild ,2007,2h 28min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0758758/
How to Train Your Dragon ,2010,1h 38min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0892769/
Gran Torino ,2008,1h 56min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1205489/
